"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NUCKS1",6236.13629543358,-0.625323290350486,0.189171338166866,-3.30559214947718,0.000947759335093606,0.0188690267623182
"DAPP1",415.271169524317,0.839690183864235,0.291512497188284,2.88046033004852,0.00397094920584387,0.0492247854384797
"FSTL3",1765.62996519357,-0.759727215409001,0.273054877215248,-2.78232428278551,0.00539710826018909,0.0596742737711764
"JMJD6",820.259993906321,0.435524987207288,0.134976862009336,3.2266640424428,0.00125242417346145,0.0228633813943846
"PABPC1",17881.4627923955,-0.238984376028419,0.0745165682418663,-3.20713073168804,0.00134066055721146,0.0237142227023673
"TESK2",105.285031652948,-0.630096855884079,0.191526449068429,-3.28986862623321,0.00100234169102305,0.0195158642776602
"TCOF1",3959.99972518282,0.855741217863747,0.16992168543405,5.03609186595478,4.75132597285778e-07,6.30327350456911e-05
"SLC12A3",427.355044904677,-3.13828811273541,0.869539125667152,-3.60913962362253,0.000307214233723465,0.00872042915541085
"ATP2B1",1959.52226322706,-0.773221954695525,0.155463341904454,-4.9736609622784,6.5700172842229e-07,8.02181667879852e-05
"WDR1",12130.0897315917,0.454201515934185,0.104242678759448,4.35715506680627,1.31763919180889e-05,0.000830112690839599
"ARHGAP10",899.725853155275,0.257582494887055,0.0926754833433885,2.77940276753281,0.0054458954488994,0.059870135066506
"RPS6KA2",4.68860281323722,-2.67391414889579,0.975462984120714,-2.74117438839165,0.00612200055799675,0.0644772837394513
"LMCD1",1009.40240697293,1.46592638190137,0.288838858482196,5.07523949375991,3.87008240127752e-07,5.39348756468948e-05
"TRIP13",1584.59311465636,0.249394701403759,0.0724100283145876,3.44420113081929,0.000572749461108748,0.0131048496101449
"CYBRD1",67.7671535650114,-1.60225920915203,0.449572259934462,-3.56396368714031,0.000365296512585054,0.00961831294682441
"ACTN1",18172.7885171361,1.01533387566143,0.245164168610003,4.14144481804999,3.45124910239563e-05,0.00174420820021071
"TFRC",8863.25195595709,-1.22354460735464,0.14541884089282,-8.41393453449717,3.96482053343245e-17,1.82342096332558e-13
"SREBF1",1028.8957602822,-0.712346005206523,0.277817172539367,-2.56408197770994,0.0103449107823783,0.0890417880819495
"HMMR",1405.59228243331,-0.388202032472295,0.124946645874323,-3.1069424053429,0.00189033223570068,0.029978061903405
"ACADVL",3379.81381235844,0.466545107533353,0.176995709267425,2.63591196342756,0.00839114989443107,0.0782776843093073
"STK10",2299.8226882575,0.355297949500815,0.138885944598512,2.5581994673968,0.010521572134753,0.0902213366955796
"IRAG1",49.7249975003979,1.66252254126701,0.610779073446726,2.72197037119351,0.00648939603635704,0.0666702796438281
"PVR",2432.56441120829,1.04940852119621,0.220134009067184,4.76713491769433,1.86864182430359e-06,0.000185479505395084
